Username,Handle,Timestamp,Text,Replys,Retweets,Likes
VM,@vm_____________,2018-09-25T17:49:18.000Z,"Em resposta a 
@oops_laau
 @uli_cassilva
 e 
@jairbolsonaro
#Rouanet tá com medo de perder né Dani? Kkkk",,,
Romulo Garcia,@RomuloGarcia4,2018-09-25T17:37:24.000Z,#Rouanet não,,,
Alessandra,@Alessan28326060,2018-09-25T16:59:40.000Z,#Rouanet Nao,,,
rubens carneiro,@rubensunip,2018-09-25T16:49:35.000Z,#Rouanet Nao  Aonde vcs artistas estão qnd se trata de saúde e segurança? canalhas,,,
Éder Dezan,@Dezan_Eder,2018-09-25T16:48:03.000Z,Vai acabar a farra #Rouanet,,,
★,@negrini21,2018-09-25T16:42:50.000Z,#Rouanet Nao,,,
Eduardo,@Eduardo95755527,2018-09-25T16:39:45.000Z,"Em resposta a 
@DaniloGentili
#RouanetNao #RouanetNão #Rouanet Nao",,,
Helio F Fernandes,@HelioFFernande1,2018-09-25T16:37:34.000Z,#Rouanet Nao,,,
Francisco Rozendo,@FranciscoRozen1,2018-09-25T16:37:17.000Z,O cara inventa de fazer um show e governo tem que pagar o lixo? #Rouanet Nao,,,
Dl Justin,@DlJustin1,2018-09-25T16:36:52.000Z,"#Rouanet Nao chega de mamar na t
Teta do. Governo",,,
Arnaldo Aparecido Palma Junior,@PalmaAparecido,2018-09-25T16:27:10.000Z,#Rouanet Nao,,,
Mary Nunes Alves,@MaryNunesAlves2,2018-09-25T16:22:44.000Z,#Rouanet Nao,,,
Venancio SOSilva,@venanciosos,2018-09-25T16:07:58.000Z,#Rouanet Nao,,,
Keiliabe,@keiliabe,2018-09-25T16:04:45.000Z,#Rouanet Nao,,,
@RobsonBarba.oficial,@RobsonBarba.oficial,2018-09-25T15:55:29.000Z,#Rouanet Nao,,,
TAMIRES,@TAMIRES73223788,2018-09-25T15:49:35.000Z,#Rouanet Nao,,,
marcus pedra,@MarcusVPedra,2018-09-25T15:44:33.000Z,"#Rouanet Nao Todos safados.
#elesim acaba com as tetas dos artistas.
1
1",1,,1
James,@ejamess,2018-09-25T15:43:14.000Z,#Rouanet Nao,,,
𝑪𝒊𝒅𝒂𝒅𝒂𝒊𝒏𝒅𝒊𝒈𝒏𝒂𝒅𝒂,@cidadaindignada,2018-09-25T14:50:47.000Z,"Em resposta a 
@MANlGOLD
 @FabioMo71299562
 e mais 2
É isso aí... te cobra $250,00 e ainda mama na #Rouanet .
1",,,1
FILIPE CYPRIANO,@filipecypriano,2018-09-25T14:39:55.000Z,#LEI #ROUANET V06 que pagão! E  a entrada também. https://facebook.com/100001373541766/posts/1945151342207298/…,,,
renato trindade,@renatot97623146,2018-09-25T14:28:17.000Z,#ROUANET NÃO,,,
